,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
26980,44,entrepreneur,married,tertiary,no,-1,no,yes,cellular,21,nov,2,-1,0,unknown,no
37603,39,technician,married,secondary,no,133,yes,no,cellular,14,may,4,352,4,other,no
23759,30,management,married,tertiary,no,1239,no,no,cellular,28,aug,5,-1,0,unknown,no
22204,48,technician,divorced,secondary,no,0,no,no,cellular,21,aug,4,-1,0,unknown,no
32297,35,management,divorced,tertiary,no,3751,yes,no,cellular,16,apr,2,-1,0,unknown,no
4673,31,blue-collar,married,secondary,no,0,yes,no,unknown,20,may,1,-1,0,unknown,no
16360,43,self-employed,married,secondary,no,1239,yes,yes,telephone,23,jul,3,-1,0,unknown,no
27577,54,management,married,tertiary,no,1114,yes,no,cellular,21,nov,2,175,1,other,no
28335,28,self-employed,single,tertiary,no,0,yes,no,cellular,29,jan,1,192,1,failure,no
25424,51,self-employed,married,primary,no,106,yes,no,telephone,18,nov,3,110,2,failure,no
21179,34,management,divorced,tertiary,no,0,no,no,cellular,14,aug,3,-1,0,unknown,no
35362,28,blue-collar,married,secondary,no,922,yes,no,cellular,7,may,1,339,1,other,no
27605,50,management,married,tertiary,no,4374,yes,no,cellular,21,nov,2,113,3,failure,no
35863,36,management,single,tertiary,no,1531,yes,no,cellular,8,may,3,170,1,failure,no
13612,49,housemaid,married,primary,no,0,no,no,telephone,9,jul,1,-1,0,unknown,no
5920,44,technician,married,secondary,no,-199,no,no,unknown,26,may,3,-1,0,unknown,no
35731,47,management,married,tertiary,no,296,yes,no,cellular,8,may,1,-1,0,unknown,no
7804,56,management,married,tertiary,no,-45,yes,no,unknown,30,may,6,-1,0,unknown,no
4076,40,blue-collar,single,unknown,no,-154,yes,yes,unknown,19,may,1,-1,0,unknown,no
33075,35,self-employed,single,tertiary,no,329,yes,no,cellular,20,apr,7,-1,0,unknown,no
14058,53,technician,divorced,secondary,no,447,yes,yes,cellular,11,jul,1,-1,0,unknown,no
27481,31,management,single,tertiary,no,307,no,no,cellular,21,nov,2,-1,0,unknown,no
34328,33,self-employed,single,tertiary,no,1049,no,no,cellular,4,may,4,-1,0,unknown,no
21042,33,management,single,tertiary,no,336,no,no,cellular,14,aug,2,-1,0,unknown,no
4401,57,management,married,tertiary,no,0,yes,yes,unknown,20,may,2,-1,0,unknown,no
38253,33,blue-collar,single,secondary,no,1211,yes,no,cellular,15,may,1,361,4,failure,no
10349,36,student,single,secondary,no,409,yes,no,unknown,12,jun,1,-1,0,unknown,no
2993,54,management,divorced,secondary,no,155,yes,no,unknown,14,may,1,-1,0,unknown,no
29899,34,blue-collar,single,secondary,no,783,yes,no,cellular,4,feb,1,-1,0,unknown,no
11713,53,technician,married,secondary,no,472,yes,yes,unknown,20,jun,1,-1,0,unknown,no
43776,49,self-employed,divorced,tertiary,no,3293,no,no,cellular,24,may,1,77,9,failure,no
4059,41,blue-collar,married,primary,no,865,no,yes,unknown,19,may,5,-1,0,unknown,no
6125,34,services,single,secondary,no,-92,yes,no,unknown,27,may,1,-1,0,unknown,no
38686,27,admin.,married,secondary,no,1417,yes,no,cellular,15,may,2,343,3,failure,no
13879,34,management,married,tertiary,no,580,yes,no,cellular,10,jul,1,-1,0,unknown,no
18960,47,technician,single,secondary,no,600,no,yes,cellular,4,aug,2,-1,0,unknown,no
15483,40,retired,married,primary,no,-407,yes,no,cellular,18,jul,3,-1,0,unknown,no
13590,48,services,married,secondary,no,124,no,yes,cellular,9,jul,1,-1,0,unknown,no
1109,32,services,single,secondary,no,81,yes,no,unknown,7,may,5,-1,0,unknown,no
44588,23,admin.,single,secondary,no,366,no,no,unknown,20,aug,1,-1,0,unknown,no
13039,44,management,divorced,tertiary,no,193,no,yes,cellular,8,jul,2,-1,0,unknown,no
23557,44,technician,divorced,secondary,no,2179,no,no,cellular,28,aug,10,-1,0,unknown,no
8000,40,admin.,single,secondary,no,2378,yes,no,unknown,2,jun,1,-1,0,unknown,no
12756,27,services,single,secondary,no,266,no,yes,cellular,7,jul,1,-1,0,unknown,no
27350,48,blue-collar,married,primary,no,3837,no,yes,cellular,21,nov,1,-1,0,unknown,no
21293,55,services,single,secondary,no,987,no,no,cellular,18,aug,4,-1,0,unknown,no
38608,31,housemaid,divorced,primary,no,168,yes,no,cellular,15,may,3,-1,0,unknown,no
38051,33,blue-collar,married,secondary,no,331,yes,no,cellular,14,may,7,365,5,other,no
23547,32,management,married,tertiary,no,0,no,no,cellular,28,aug,13,-1,0,unknown,no
222,35,entrepreneur,divorced,secondary,no,-69,yes,no,unknown,5,may,1,-1,0,unknown,no
28510,45,self-employed,married,tertiary,no,125,no,no,cellular,29,jan,2,-1,0,unknown,no
1917,35,management,single,secondary,no,6809,yes,no,unknown,9,may,7,-1,0,unknown,no
16126,33,blue-collar,divorced,secondary,no,474,no,no,cellular,22,jul,2,-1,0,unknown,no
28521,55,technician,married,unknown,no,574,yes,no,cellular,29,jan,2,-1,0,unknown,no
22988,43,management,married,secondary,no,17555,no,no,cellular,26,aug,14,-1,0,unknown,no
5823,34,blue-collar,married,unknown,no,-465,no,no,unknown,26,may,1,-1,0,unknown,no
36343,48,blue-collar,married,secondary,no,7985,yes,no,cellular,11,may,2,347,1,failure,no
36402,31,blue-collar,single,secondary,no,1598,yes,no,cellular,11,may,2,305,1,success,no
5135,33,admin.,single,secondary,no,1779,yes,no,unknown,21,may,2,-1,0,unknown,no
27909,37,services,single,secondary,no,62,yes,no,cellular,28,jan,2,268,2,failure,no
44128,27,unemployed,single,tertiary,no,77,no,no,cellular,12,jul,4,77,1,success,no
20223,34,management,married,tertiary,no,0,no,no,cellular,11,aug,2,-1,0,unknown,no
38695,50,self-employed,married,secondary,no,358,yes,yes,cellular,15,may,3,367,3,failure,no
33443,40,services,married,secondary,no,2843,yes,no,cellular,20,apr,1,305,1,success,no
22647,31,technician,single,secondary,no,4028,no,yes,cellular,25,aug,5,-1,0,unknown,no
11816,25,blue-collar,married,secondary,no,-306,yes,no,unknown,20,jun,3,-1,0,unknown,no
18610,40,blue-collar,married,secondary,no,598,yes,no,cellular,31,jul,5,-1,0,unknown,no
28076,39,technician,married,secondary,no,24,yes,no,cellular,28,jan,4,-1,0,unknown,no
41584,48,management,married,tertiary,no,2,no,no,cellular,15,sep,1,91,2,failure,no
9912,35,services,divorced,secondary,no,305,no,no,unknown,9,jun,2,-1,0,unknown,no
1009,53,services,married,primary,no,46,yes,no,unknown,7,may,1,-1,0,unknown,no
41370,34,blue-collar,single,secondary,no,869,no,no,cellular,31,aug,1,-1,0,unknown,no
16240,46,management,married,tertiary,no,99,yes,no,cellular,23,jul,1,-1,0,unknown,no
17056,51,entrepreneur,married,secondary,no,2156,yes,no,cellular,25,jul,3,-1,0,unknown,no
40320,29,management,single,tertiary,no,1675,no,no,cellular,16,jun,2,-1,0,unknown,no
37432,53,admin.,married,primary,no,234,yes,no,telephone,13,may,7,-1,0,unknown,no
32258,35,admin.,single,secondary,no,-101,yes,no,cellular,16,apr,1,318,1,other,no
44190,66,retired,married,primary,no,2173,no,no,cellular,15,jul,1,181,5,failure,no
12023,40,admin.,single,secondary,no,142,no,yes,unknown,20,jun,3,-1,0,unknown,no
10172,58,technician,married,primary,no,139,no,no,unknown,11,jun,1,-1,0,unknown,no
10033,52,management,married,primary,no,48,no,no,unknown,9,jun,2,-1,0,unknown,no
6581,35,technician,single,secondary,no,175,yes,no,unknown,28,may,1,-1,0,unknown,no
40597,61,blue-collar,married,primary,no,7879,no,no,telephone,28,jul,9,-1,0,unknown,no
24885,37,blue-collar,married,primary,no,0,no,no,cellular,18,nov,2,-1,0,unknown,no
38808,28,technician,married,secondary,no,1944,yes,no,telephone,18,may,7,-1,0,unknown,no
13483,36,admin.,single,secondary,no,47,no,yes,cellular,9,jul,6,-1,0,unknown,no
29089,40,blue-collar,married,secondary,no,746,yes,yes,cellular,2,feb,1,262,3,other,no
35570,30,management,married,tertiary,no,86,yes,yes,cellular,7,may,6,169,3,failure,no
40974,26,student,single,secondary,no,611,no,no,cellular,13,aug,2,69,3,failure,no
37715,39,technician,single,secondary,no,-237,yes,no,cellular,14,may,2,-1,0,unknown,no
26004,30,blue-collar,married,secondary,no,913,yes,yes,cellular,19,nov,2,-1,0,unknown,no
25049,50,technician,married,secondary,no,232,no,no,cellular,18,nov,1,-1,0,unknown,no
33758,52,admin.,married,secondary,no,0,no,no,cellular,22,apr,2,275,1,failure,no
7045,45,services,single,secondary,no,1377,yes,no,unknown,28,may,5,-1,0,unknown,no
28883,44,management,single,tertiary,no,780,yes,no,cellular,30,jan,2,-1,0,unknown,no
28908,57,retired,married,secondary,no,523,no,yes,cellular,2,feb,6,-1,0,unknown,no
21578,46,management,divorced,secondary,no,558,no,no,cellular,19,aug,6,-1,0,unknown,no
29382,65,retired,married,primary,no,1343,no,no,telephone,2,feb,2,-1,0,unknown,no
14465,36,housemaid,married,primary,no,4324,yes,no,cellular,14,jul,4,-1,0,unknown,no
9762,51,services,married,secondary,no,-467,no,no,unknown,9,jun,5,-1,0,unknown,no
40214,31,services,single,secondary,no,365,no,no,cellular,9,jun,3,-1,0,unknown,no
29920,27,self-employed,single,tertiary,no,451,no,no,cellular,4,feb,4,-1,0,unknown,no
16759,29,blue-collar,married,secondary,no,658,yes,no,cellular,24,jul,1,-1,0,unknown,no
6887,32,services,single,tertiary,no,-233,yes,no,unknown,28,may,2,-1,0,unknown,no
177,34,technician,married,secondary,no,51,yes,no,unknown,5,may,2,-1,0,unknown,no
24218,45,self-employed,married,tertiary,no,582,no,no,cellular,17,nov,1,-1,0,unknown,no
4277,31,blue-collar,single,secondary,no,19,yes,no,unknown,19,may,5,-1,0,unknown,no
4598,37,blue-collar,single,primary,no,6969,yes,no,unknown,20,may,1,-1,0,unknown,no
28277,53,admin.,divorced,secondary,no,2687,yes,no,cellular,29,jan,1,-1,0,unknown,no
25798,32,technician,married,tertiary,no,432,yes,no,cellular,19,nov,2,195,1,other,no
30432,32,technician,single,tertiary,no,1813,no,no,cellular,5,feb,1,-1,0,unknown,no
1821,33,management,single,secondary,no,-665,yes,yes,unknown,9,may,1,-1,0,unknown,no
620,48,technician,married,secondary,no,147,no,no,unknown,6,may,3,-1,0,unknown,no
28183,37,blue-collar,married,primary,no,345,yes,no,cellular,29,jan,1,188,2,failure,no
24834,47,management,divorced,tertiary,no,428,yes,no,cellular,18,nov,1,167,1,other,no
16573,50,technician,married,secondary,no,503,yes,no,cellular,24,jul,2,-1,0,unknown,no
5597,31,blue-collar,single,tertiary,no,2197,yes,no,unknown,23,may,3,-1,0,unknown,no
30421,32,services,married,secondary,no,182,no,no,cellular,5,feb,1,169,2,failure,no
6278,25,blue-collar,single,secondary,no,2354,no,yes,unknown,27,may,1,-1,0,unknown,no
3330,45,services,married,secondary,no,9077,yes,no,unknown,15,may,1,-1,0,unknown,no
15259,56,retired,divorced,secondary,no,212,no,yes,telephone,17,jul,1,-1,0,unknown,no
7260,42,services,married,primary,no,91,yes,no,unknown,29,may,7,-1,0,unknown,no
6666,33,admin.,divorced,secondary,no,-403,yes,no,unknown,28,may,1,-1,0,unknown,no
7442,47,blue-collar,married,secondary,no,762,yes,no,unknown,29,may,3,-1,0,unknown,no
38646,37,blue-collar,married,primary,no,-137,yes,no,cellular,15,may,5,-1,0,unknown,no
42847,34,admin.,divorced,secondary,no,661,yes,no,cellular,3,feb,1,96,9,other,no
40849,64,management,married,secondary,no,1646,no,no,cellular,12,aug,3,-1,0,unknown,no
3760,28,services,single,secondary,no,45,yes,no,unknown,16,may,1,-1,0,unknown,no
23313,58,retired,married,secondary,no,413,no,no,cellular,27,aug,5,-1,0,unknown,no
37252,38,blue-collar,single,secondary,no,1137,no,no,cellular,13,may,1,-1,0,unknown,no
25174,38,entrepreneur,married,tertiary,no,0,yes,no,cellular,18,nov,3,-1,0,unknown,no
17630,38,technician,single,secondary,no,1655,no,no,cellular,29,jul,2,-1,0,unknown,no
33826,57,management,married,tertiary,no,813,no,no,cellular,27,apr,3,-1,0,unknown,no
10737,42,management,married,secondary,no,2580,yes,no,unknown,16,jun,3,-1,0,unknown,no
24407,59,retired,divorced,secondary,no,514,yes,no,cellular,17,nov,1,188,1,other,no
9490,36,services,single,primary,no,38,no,no,unknown,6,jun,4,-1,0,unknown,no
33588,31,admin.,divorced,secondary,no,-186,yes,no,cellular,20,apr,5,-1,0,unknown,no
42150,69,technician,married,tertiary,no,482,no,no,cellular,4,nov,1,-1,0,unknown,no
37587,54,admin.,single,secondary,no,3344,yes,no,cellular,14,may,8,-1,0,unknown,no
4335,49,blue-collar,married,secondary,no,1854,yes,no,unknown,19,may,5,-1,0,unknown,no
29943,28,admin.,married,secondary,no,358,no,no,cellular,4,feb,1,-1,0,unknown,no
42551,48,self-employed,married,secondary,no,1559,no,no,cellular,24,dec,3,133,3,failure,no
28385,39,services,married,secondary,no,1099,no,no,cellular,29,jan,2,245,6,failure,no
2973,44,blue-collar,married,secondary,no,1944,yes,no,unknown,14,may,5,-1,0,unknown,no
35705,57,technician,married,secondary,no,28,yes,no,cellular,8,may,1,358,1,failure,no
23695,35,technician,single,tertiary,no,0,yes,no,telephone,28,aug,2,-1,0,unknown,no
8836,27,entrepreneur,single,tertiary,no,0,yes,no,unknown,4,jun,2,-1,0,unknown,no
34968,55,blue-collar,married,primary,no,663,yes,no,cellular,6,may,1,-1,0,unknown,no
5732,40,blue-collar,married,secondary,no,193,yes,yes,unknown,26,may,1,-1,0,unknown,no
4247,23,management,single,secondary,no,85,yes,no,unknown,19,may,2,-1,0,unknown,no
19131,52,management,married,tertiary,no,547,no,no,cellular,5,aug,2,-1,0,unknown,no
2023,31,management,single,tertiary,no,606,yes,no,unknown,9,may,2,-1,0,unknown,no
4971,37,self-employed,married,tertiary,no,2084,yes,no,unknown,21,may,2,-1,0,unknown,no
21954,31,management,married,tertiary,no,156,no,no,cellular,20,aug,2,-1,0,unknown,no
4485,35,admin.,married,secondary,no,2137,yes,no,unknown,20,may,1,-1,0,unknown,no
1741,29,admin.,divorced,secondary,no,0,no,no,unknown,9,may,1,-1,0,unknown,no
29919,32,technician,married,secondary,no,767,yes,yes,cellular,4,feb,1,-1,0,unknown,no
18051,52,self-employed,married,secondary,no,1498,yes,no,cellular,30,jul,11,-1,0,unknown,no
13149,33,admin.,single,secondary,no,1248,no,no,cellular,8,jul,1,-1,0,unknown,no
34701,34,technician,single,secondary,no,513,yes,no,cellular,5,may,3,169,5,other,no
11363,47,admin.,married,secondary,no,1195,no,no,unknown,19,jun,1,-1,0,unknown,no
25083,39,blue-collar,married,primary,no,111,no,no,cellular,18,nov,2,-1,0,unknown,no
20539,31,management,married,secondary,no,1368,yes,no,cellular,12,aug,4,-1,0,unknown,no
30680,39,technician,married,unknown,no,195,no,no,cellular,6,feb,2,-1,0,unknown,no
28576,31,technician,single,secondary,no,304,no,no,cellular,29,jan,2,160,2,other,no
8854,30,management,single,tertiary,no,17036,yes,no,unknown,4,jun,7,-1,0,unknown,no
42057,35,admin.,single,tertiary,no,980,no,no,cellular,29,oct,2,-1,0,unknown,no
6910,29,admin.,married,secondary,no,5605,yes,no,unknown,28,may,2,-1,0,unknown,no
4927,48,technician,divorced,tertiary,no,-136,yes,no,unknown,21,may,12,-1,0,unknown,no
42251,75,retired,married,secondary,no,324,no,no,telephone,12,nov,2,91,4,other,no
26395,48,entrepreneur,divorced,tertiary,no,3520,yes,no,cellular,20,nov,4,-1,0,unknown,no
5375,29,blue-collar,single,secondary,no,208,yes,no,unknown,23,may,1,-1,0,unknown,no
23901,41,management,single,tertiary,no,2408,no,no,cellular,29,aug,2,-1,0,unknown,no
25196,55,entrepreneur,married,tertiary,no,78,no,no,cellular,18,nov,2,-1,0,unknown,no
12963,49,self-employed,single,secondary,no,766,yes,no,cellular,7,jul,4,-1,0,unknown,no
11433,36,management,divorced,secondary,no,47,no,no,unknown,19,jun,1,-1,0,unknown,no
5870,32,technician,single,secondary,no,0,yes,yes,unknown,26,may,2,-1,0,unknown,no
36413,48,services,single,secondary,yes,-470,yes,no,cellular,11,may,2,292,11,failure,no
3872,30,blue-collar,single,secondary,no,132,yes,no,unknown,16,may,1,-1,0,unknown,no
7418,37,admin.,married,secondary,no,99,yes,no,unknown,29,may,2,-1,0,unknown,no
37820,36,blue-collar,divorced,primary,no,0,no,no,cellular,14,may,2,-1,0,unknown,no
18362,52,management,married,tertiary,no,4358,no,no,telephone,31,jul,7,-1,0,unknown,no
16755,49,technician,divorced,secondary,no,-39,yes,yes,cellular,24,jul,3,-1,0,unknown,no
32754,41,technician,single,tertiary,no,445,yes,no,cellular,17,apr,1,267,1,failure,no
35345,34,technician,divorced,secondary,no,558,yes,no,cellular,7,may,2,167,5,failure,no
41734,38,services,divorced,secondary,no,53,no,no,cellular,8,oct,1,58,1,other,no
30944,58,blue-collar,married,primary,no,42,yes,no,cellular,9,feb,6,264,3,failure,no
19679,45,management,married,secondary,no,724,yes,yes,cellular,7,aug,1,-1,0,unknown,no
8766,29,admin.,married,secondary,no,708,yes,no,unknown,4,jun,1,-1,0,unknown,no
38757,37,blue-collar,married,secondary,no,91,yes,no,cellular,18,may,5,-1,0,unknown,no
10800,42,entrepreneur,married,tertiary,no,1654,no,no,unknown,17,jun,1,-1,0,unknown,no
26967,50,housemaid,married,primary,no,85,no,no,cellular,21,nov,1,-1,0,unknown,no
10643,58,entrepreneur,married,secondary,no,2,no,no,unknown,16,jun,1,-1,0,unknown,no
35650,42,management,divorced,tertiary,no,357,yes,no,cellular,8,may,1,-1,0,unknown,no
28673,27,services,married,secondary,no,1304,no,no,cellular,30,jan,1,-1,0,unknown,no
26040,52,admin.,married,secondary,no,1648,yes,no,cellular,19,nov,3,-1,0,unknown,no
824,34,services,married,secondary,no,302,yes,no,unknown,7,may,1,-1,0,unknown,no
21515,32,technician,married,tertiary,no,264,yes,no,cellular,19,aug,7,-1,0,unknown,no
30584,52,management,married,secondary,no,4873,no,no,telephone,6,feb,6,213,9,failure,no
7745,51,housemaid,married,tertiary,no,3122,yes,no,unknown,30,may,2,-1,0,unknown,no
32951,26,blue-collar,married,secondary,no,647,yes,no,cellular,17,apr,2,331,1,other,no
12546,52,housemaid,married,tertiary,no,51,no,no,unknown,3,jul,1,-1,0,unknown,no
24613,41,management,married,tertiary,no,653,yes,no,telephone,17,nov,2,-1,0,unknown,no
36939,46,blue-collar,married,secondary,no,1583,yes,no,telephone,12,may,5,278,7,failure,no
39534,40,management,married,secondary,no,363,yes,yes,cellular,26,may,1,104,2,failure,no
8778,25,technician,married,secondary,no,-276,yes,no,unknown,4,jun,1,-1,0,unknown,no
31926,30,technician,single,tertiary,no,987,no,no,cellular,9,apr,6,-1,0,unknown,no
14460,48,blue-collar,married,secondary,no,742,yes,yes,cellular,14,jul,4,-1,0,unknown,no
31165,43,admin.,married,secondary,no,477,yes,no,cellular,27,feb,2,-1,0,unknown,no
22560,59,retired,married,primary,no,0,no,no,cellular,22,aug,1,-1,0,unknown,no
25887,47,blue-collar,married,secondary,no,310,no,no,cellular,19,nov,2,-1,0,unknown,no
23868,33,technician,single,tertiary,no,176,no,no,cellular,29,aug,2,-1,0,unknown,no
0,58,management,married,tertiary,no,2143,yes,no,unknown,5,may,1,-1,0,unknown,no
36275,52,services,married,secondary,no,-178,yes,yes,cellular,11,may,2,347,1,failure,no
14218,31,blue-collar,divorced,secondary,no,916,yes,yes,cellular,11,jul,2,-1,0,unknown,no
10437,47,housemaid,married,tertiary,no,1985,no,no,unknown,12,jun,2,-1,0,unknown,no
10854,36,blue-collar,married,primary,no,214,no,no,unknown,17,jun,1,-1,0,unknown,no
22782,42,self-employed,married,tertiary,no,1385,no,no,cellular,25,aug,19,-1,0,unknown,no
26957,52,admin.,divorced,secondary,no,-402,yes,no,cellular,21,nov,1,-1,0,unknown,no
12916,28,admin.,single,secondary,no,1507,no,no,cellular,7,jul,1,-1,0,unknown,no
32104,35,admin.,married,secondary,no,5250,yes,no,cellular,15,apr,2,146,1,failure,no
14448,53,blue-collar,married,secondary,no,-162,yes,no,cellular,14,jul,6,-1,0,unknown,no
24574,36,management,divorced,tertiary,no,3837,yes,no,cellular,17,nov,1,193,1,success,no
2574,41,technician,single,unknown,no,356,yes,no,unknown,13,may,2,-1,0,unknown,no
4165,28,blue-collar,married,secondary,no,1827,yes,no,unknown,19,may,2,-1,0,unknown,no
12664,29,blue-collar,single,primary,no,343,no,no,cellular,4,jul,2,-1,0,unknown,no
27467,36,self-employed,married,secondary,no,1006,yes,no,cellular,21,nov,2,-1,0,unknown,no
11537,54,housemaid,married,primary,no,774,no,no,unknown,19,jun,1,-1,0,unknown,no
12020,39,technician,married,secondary,no,2765,yes,yes,unknown,20,jun,3,-1,0,unknown,no
44118,29,management,single,secondary,no,966,no,no,cellular,9,jul,1,396,2,other,no
1663,31,housemaid,married,secondary,no,0,yes,no,unknown,9,may,2,-1,0,unknown,no
32939,53,management,married,tertiary,no,2124,yes,no,cellular,17,apr,2,344,2,failure,no
23178,38,technician,single,tertiary,no,187,no,no,cellular,27,aug,7,-1,0,unknown,no
6538,33,admin.,married,secondary,no,-297,yes,no,unknown,27,may,3,-1,0,unknown,no
10479,41,blue-collar,married,primary,no,492,yes,yes,unknown,16,jun,29,-1,0,unknown,no
