,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
102,77,management,married,tertiary,no,5619,no,no,cellular,25,mar,1,-1,0,unknown,no
103,42,entrepreneur,married,secondary,no,215,yes,yes,cellular,21,nov,1,-1,0,unknown,no
104,44,technician,married,secondary,no,267,no,yes,cellular,12,aug,3,-1,0,unknown,no
105,56,management,married,tertiary,no,480,yes,no,telephone,2,apr,2,-1,0,unknown,no
106,41,services,single,tertiary,no,285,yes,yes,unknown,29,may,1,-1,0,unknown,no
107,35,admin.,married,secondary,no,165,yes,no,unknown,18,jun,1,-1,0,unknown,no
108,57,retired,divorced,primary,no,2439,yes,no,unknown,14,may,1,-1,0,unknown,no
109,56,management,married,tertiary,no,0,no,no,cellular,19,aug,4,-1,0,unknown,no
110,40,management,married,secondary,no,408,yes,no,cellular,8,may,1,322,4,failure,no
111,54,management,married,tertiary,no,500,yes,no,cellular,11,aug,4,-1,0,unknown,no
112,66,retired,single,tertiary,no,0,no,no,cellular,12,jan,1,92,2,failure,no
113,36,management,single,tertiary,no,1089,yes,no,unknown,30,may,1,-1,0,unknown,no
114,42,blue-collar,married,primary,no,1288,yes,no,unknown,14,may,1,-1,0,unknown,no
115,38,blue-collar,married,secondary,no,924,yes,no,unknown,21,may,2,-1,0,unknown,no
116,54,management,married,tertiary,no,2883,no,no,cellular,18,aug,5,-1,0,unknown,no
117,32,technician,single,tertiary,no,1246,yes,no,cellular,12,aug,1,104,3,success,no
118,35,admin.,single,secondary,no,141,no,no,cellular,11,jul,2,-1,0,unknown,no
119,32,services,married,secondary,no,1670,no,no,cellular,13,may,1,299,2,failure,no
120,55,services,married,unknown,no,-45,yes,no,unknown,16,may,7,-1,0,unknown,no
121,34,technician,single,secondary,no,513,yes,no,cellular,5,may,3,169,5,other,no
122,25,technician,single,secondary,no,1312,yes,no,cellular,16,apr,1,-1,0,unknown,no
123,54,unknown,married,tertiary,no,10,no,no,cellular,7,aug,2,-1,0,unknown,no
124,57,management,married,tertiary,no,1172,no,no,unknown,18,jun,1,-1,0,unknown,no
125,57,blue-collar,married,secondary,no,490,yes,no,cellular,18,aug,5,-1,0,unknown,no
126,27,housemaid,married,primary,no,3,yes,yes,cellular,30,jul,4,-1,0,unknown,no
127,35,unemployed,single,primary,no,483,no,no,cellular,3,feb,1,-1,0,unknown,no
128,54,blue-collar,married,secondary,no,734,no,yes,unknown,12,jun,1,-1,0,unknown,no
129,51,blue-collar,married,primary,no,3942,yes,no,unknown,17,jun,3,-1,0,unknown,no
130,27,admin.,single,secondary,no,6492,no,no,cellular,6,feb,6,-1,0,unknown,no
131,34,blue-collar,single,primary,no,4260,yes,no,cellular,15,may,1,-1,0,unknown,no
132,32,blue-collar,married,secondary,no,3514,yes,no,unknown,20,may,2,-1,0,unknown,no
133,35,technician,single,tertiary,no,275,yes,no,cellular,25,aug,5,-1,0,unknown,no
134,31,entrepreneur,single,tertiary,no,206,no,no,cellular,15,jun,2,-1,0,unknown,no
135,46,technician,divorced,secondary,no,0,no,no,telephone,14,aug,8,-1,0,unknown,no
136,32,management,married,tertiary,no,514,yes,no,unknown,28,may,2,-1,0,unknown,no
137,53,services,married,secondary,no,197,yes,no,cellular,17,apr,1,-1,0,unknown,no
138,33,technician,single,secondary,no,440,yes,no,unknown,26,may,2,-1,0,unknown,no
139,49,management,married,tertiary,yes,10,yes,no,cellular,21,nov,1,-1,0,unknown,no
140,51,admin.,married,primary,no,576,yes,no,cellular,23,jul,1,-1,0,unknown,no
141,52,admin.,single,secondary,no,1964,no,yes,unknown,28,may,1,-1,0,unknown,no
142,54,technician,married,tertiary,no,2883,yes,yes,unknown,15,may,3,-1,0,unknown,no
143,59,management,married,tertiary,no,3640,no,no,cellular,17,nov,2,-1,0,unknown,no
144,31,blue-collar,married,secondary,no,64,yes,no,cellular,18,jul,3,-1,0,unknown,no
145,31,blue-collar,married,primary,no,856,yes,no,unknown,8,may,3,-1,0,unknown,no
146,26,services,married,secondary,no,864,yes,yes,cellular,14,may,1,-1,0,unknown,no
147,76,retired,married,unknown,no,992,no,no,cellular,27,oct,2,-1,0,unknown,no
148,40,management,married,tertiary,no,342,yes,no,cellular,13,may,4,-1,0,unknown,no
149,38,entrepreneur,married,tertiary,no,946,yes,no,cellular,11,may,1,-1,0,unknown,no
150,41,management,single,tertiary,no,480,yes,no,unknown,15,may,2,-1,0,unknown,no
151,37,blue-collar,divorced,secondary,no,811,yes,yes,cellular,6,apr,3,-1,0,unknown,no
152,39,management,divorced,tertiary,no,3261,yes,no,unknown,9,jun,17,-1,0,unknown,no
153,38,housemaid,married,secondary,no,1372,yes,yes,unknown,15,may,1,-1,0,unknown,no
154,29,entrepreneur,married,tertiary,no,0,yes,no,cellular,24,jul,1,-1,0,unknown,no
155,40,services,married,secondary,no,518,no,no,telephone,17,jul,1,-1,0,unknown,no
156,50,blue-collar,married,secondary,no,1553,yes,no,cellular,31,jul,2,-1,0,unknown,no
157,40,blue-collar,married,primary,no,127,yes,no,cellular,17,apr,1,-1,0,unknown,no
158,33,blue-collar,married,secondary,no,101,yes,no,cellular,15,may,2,361,4,failure,no
159,31,student,single,secondary,no,93,no,no,cellular,19,nov,2,-1,0,unknown,no
160,36,technician,married,secondary,no,216,no,no,cellular,29,aug,2,-1,0,unknown,no
161,42,blue-collar,married,primary,no,46,yes,no,unknown,17,jun,6,-1,0,unknown,no
162,30,services,married,secondary,no,292,yes,yes,cellular,15,apr,4,-1,0,unknown,no
163,57,management,married,tertiary,no,24498,no,no,cellular,21,nov,5,-1,0,unknown,no
164,31,unemployed,married,secondary,no,-825,yes,no,unknown,7,may,2,-1,0,unknown,no
165,58,blue-collar,divorced,secondary,no,-11,no,no,unknown,6,may,1,-1,0,unknown,no
166,48,admin.,divorced,secondary,no,268,yes,no,unknown,7,may,4,-1,0,unknown,no
167,38,technician,divorced,secondary,no,276,no,no,cellular,18,aug,14,-1,0,unknown,no
168,53,admin.,single,secondary,no,393,no,no,cellular,29,jan,1,-1,0,unknown,no
169,51,technician,divorced,secondary,no,1096,no,no,cellular,3,feb,1,-1,0,unknown,no
170,45,blue-collar,married,primary,no,0,yes,yes,cellular,12,may,3,172,5,failure,no
171,41,blue-collar,single,secondary,no,656,no,no,unknown,6,jun,1,-1,0,unknown,no
172,25,student,single,secondary,no,1765,yes,no,telephone,14,apr,3,326,2,failure,no
173,44,blue-collar,married,primary,no,279,yes,no,cellular,17,apr,1,339,6,other,no
174,42,admin.,divorced,secondary,no,490,yes,no,cellular,8,nov,1,97,5,other,no
175,31,admin.,single,secondary,no,358,yes,no,unknown,14,may,1,-1,0,unknown,no
176,35,admin.,single,secondary,no,128,no,no,unknown,12,jun,1,-1,0,unknown,no
177,29,admin.,married,secondary,no,5605,yes,no,unknown,28,may,2,-1,0,unknown,no
178,57,services,married,secondary,no,2745,yes,no,unknown,17,jun,2,-1,0,unknown,no
179,32,blue-collar,single,secondary,no,70,yes,no,unknown,26,may,6,-1,0,unknown,no
180,34,services,single,secondary,no,1921,yes,no,cellular,4,feb,1,-1,0,unknown,no
181,39,management,divorced,tertiary,no,224,yes,no,cellular,5,may,1,-1,0,unknown,no
182,29,self-employed,single,secondary,no,272,yes,no,unknown,16,may,3,-1,0,unknown,no
183,34,technician,single,tertiary,no,651,no,no,cellular,3,feb,3,-1,0,unknown,no
184,39,self-employed,married,secondary,no,1317,no,no,unknown,17,jun,4,-1,0,unknown,no
185,47,technician,married,primary,no,187,yes,no,unknown,9,may,1,-1,0,unknown,no
186,38,blue-collar,married,primary,no,1597,no,no,telephone,8,may,1,-1,0,unknown,no
187,33,management,single,tertiary,no,923,yes,no,unknown,30,may,6,-1,0,unknown,no
188,40,admin.,married,secondary,no,67,no,yes,unknown,20,jun,5,-1,0,unknown,no
189,31,management,single,tertiary,no,69,no,no,cellular,11,aug,2,-1,0,unknown,no
190,41,services,married,secondary,no,714,yes,yes,unknown,15,may,5,-1,0,unknown,no
191,55,retired,married,secondary,no,185,no,no,cellular,28,aug,4,-1,0,unknown,no
192,31,management,married,tertiary,yes,0,no,no,cellular,14,jul,4,-1,0,unknown,no
193,45,technician,divorced,secondary,no,1309,yes,no,unknown,2,jun,2,-1,0,unknown,no
194,45,management,married,tertiary,yes,-577,yes,yes,cellular,24,jul,1,-1,0,unknown,no
195,51,admin.,married,secondary,no,0,no,no,telephone,29,jul,2,-1,0,unknown,no
196,30,management,single,tertiary,no,114,no,no,cellular,14,aug,4,-1,0,unknown,no
197,56,management,married,secondary,no,238,yes,no,cellular,19,nov,1,-1,0,unknown,no
198,37,technician,married,secondary,no,807,yes,no,cellular,12,may,3,172,4,failure,no
199,26,admin.,single,secondary,no,74,no,yes,cellular,16,jul,2,-1,0,unknown,no
200,41,unemployed,married,secondary,no,356,yes,no,unknown,16,may,2,-1,0,unknown,no
201,43,technician,married,secondary,no,1937,yes,no,unknown,5,may,1,-1,0,unknown,no
202,32,services,single,secondary,no,1940,yes,no,unknown,23,may,2,-1,0,unknown,no
203,51,housemaid,married,unknown,no,21244,no,yes,cellular,4,aug,2,-1,0,unknown,no
204,33,management,single,tertiary,no,349,no,no,cellular,22,aug,1,-1,0,unknown,no
205,37,housemaid,divorced,primary,no,0,yes,yes,cellular,21,nov,7,-1,0,unknown,no
206,31,management,married,tertiary,no,1126,no,no,unknown,14,jun,1,-1,0,unknown,no
207,36,technician,single,secondary,no,2921,no,no,telephone,31,jul,7,-1,0,unknown,no
208,84,retired,divorced,primary,no,2619,no,no,telephone,8,feb,2,115,2,failure,no
209,59,housemaid,married,primary,no,500,no,no,unknown,5,jun,1,-1,0,unknown,no
210,39,technician,married,secondary,no,1,yes,no,unknown,26,may,2,-1,0,unknown,no
211,50,management,married,tertiary,no,106,yes,no,unknown,15,may,2,-1,0,unknown,no
212,35,technician,single,secondary,no,1183,yes,no,cellular,21,nov,3,185,2,failure,no
213,48,management,married,tertiary,no,20718,yes,no,unknown,14,may,1,-1,0,unknown,no
214,38,admin.,single,secondary,no,-211,no,yes,cellular,31,jul,2,-1,0,unknown,no
215,51,entrepreneur,divorced,tertiary,no,23,yes,no,cellular,18,jul,3,-1,0,unknown,no
216,45,self-employed,married,tertiary,no,-312,no,no,telephone,18,nov,4,-1,0,unknown,no
217,51,technician,divorced,secondary,no,0,yes,no,unknown,28,may,2,-1,0,unknown,no
218,34,blue-collar,married,primary,no,161,yes,yes,unknown,20,may,1,-1,0,unknown,no
219,30,services,married,tertiary,no,1380,yes,no,unknown,21,may,2,-1,0,unknown,no
220,44,blue-collar,married,primary,no,0,yes,no,cellular,6,may,1,-1,0,unknown,no
221,42,unemployed,married,secondary,no,0,yes,no,unknown,20,jun,1,-1,0,unknown,no
222,35,admin.,single,secondary,no,91,yes,no,unknown,23,may,4,-1,0,unknown,no
223,40,blue-collar,married,primary,yes,-509,yes,no,unknown,23,may,1,-1,0,unknown,no
224,30,blue-collar,married,primary,no,346,yes,no,unknown,3,jun,1,-1,0,unknown,no
225,48,services,divorced,primary,no,189,yes,no,unknown,13,may,1,-1,0,unknown,no
226,46,technician,married,secondary,no,1307,yes,no,unknown,29,may,1,-1,0,unknown,no
227,31,technician,married,tertiary,no,11,no,no,cellular,27,aug,2,-1,0,unknown,no
228,47,blue-collar,married,primary,no,613,yes,no,cellular,29,jan,3,255,2,other,no
229,43,services,married,secondary,no,3689,yes,no,cellular,20,apr,1,321,1,failure,no
230,38,management,married,tertiary,no,546,no,no,cellular,22,aug,2,-1,0,unknown,no
231,40,services,married,secondary,no,-342,yes,no,unknown,26,may,1,-1,0,unknown,no
232,32,blue-collar,single,secondary,no,338,yes,no,unknown,13,may,3,-1,0,unknown,no
233,28,self-employed,single,tertiary,no,25,no,no,cellular,9,jul,1,-1,0,unknown,no
234,39,blue-collar,divorced,unknown,no,528,yes,no,unknown,21,may,5,-1,0,unknown,no
235,35,entrepreneur,divorced,secondary,no,80,no,no,cellular,20,aug,5,-1,0,unknown,no
236,39,services,divorced,secondary,no,1957,yes,yes,cellular,20,nov,1,-1,0,unknown,no
237,52,blue-collar,divorced,primary,no,528,no,no,cellular,4,feb,1,-1,0,unknown,no
238,51,blue-collar,married,secondary,no,4695,no,no,cellular,29,aug,10,-1,0,unknown,no
239,46,technician,married,secondary,no,0,yes,no,telephone,31,jul,2,-1,0,unknown,no
240,43,technician,married,secondary,no,-1701,yes,no,unknown,26,may,1,-1,0,unknown,no
241,38,blue-collar,married,primary,no,-522,yes,yes,unknown,20,jun,22,-1,0,unknown,no
242,31,blue-collar,married,primary,no,605,yes,no,unknown,15,may,10,-1,0,unknown,no
243,47,blue-collar,married,secondary,no,8,no,no,unknown,9,may,4,-1,0,unknown,no
244,32,management,married,tertiary,no,3107,yes,yes,cellular,18,nov,2,116,1,failure,no
245,37,management,divorced,tertiary,no,481,yes,no,cellular,19,aug,6,-1,0,unknown,no
246,30,blue-collar,married,secondary,no,975,yes,no,cellular,13,may,2,351,2,failure,no
247,33,technician,single,secondary,no,2466,yes,no,cellular,21,nov,2,-1,0,unknown,no
248,43,technician,married,primary,no,117,yes,no,unknown,7,may,2,-1,0,unknown,no
249,33,technician,single,secondary,no,151,yes,no,cellular,20,apr,3,236,6,failure,no
250,25,technician,single,secondary,no,7103,yes,no,cellular,18,may,1,-1,0,unknown,no
251,34,blue-collar,married,secondary,no,1134,yes,no,cellular,17,apr,1,329,2,failure,no
252,50,services,divorced,tertiary,no,580,no,no,unknown,17,jun,2,-1,0,unknown,no
253,51,retired,married,secondary,no,-14,no,yes,cellular,21,jul,5,-1,0,unknown,no
254,39,blue-collar,married,secondary,no,971,yes,yes,unknown,1,jul,3,-1,0,unknown,no
255,46,entrepreneur,divorced,secondary,no,1187,no,yes,cellular,13,oct,1,327,1,failure,no
256,37,services,married,secondary,no,102,yes,no,cellular,31,jul,3,-1,0,unknown,no
257,33,blue-collar,married,primary,no,0,yes,no,cellular,20,nov,1,-1,0,unknown,no
258,37,services,divorced,secondary,no,523,no,no,unknown,20,jun,7,-1,0,unknown,no
259,60,retired,married,primary,no,0,no,no,telephone,30,jul,3,-1,0,unknown,no
260,48,blue-collar,single,primary,no,316,no,no,unknown,5,jun,2,-1,0,unknown,no
261,42,housemaid,single,primary,no,206,no,yes,cellular,24,jul,1,-1,0,unknown,no
262,39,management,divorced,tertiary,no,547,yes,no,cellular,29,jan,2,260,4,failure,no
263,45,technician,married,secondary,no,0,yes,yes,telephone,9,jul,1,-1,0,unknown,no
264,33,admin.,divorced,tertiary,no,1586,no,no,cellular,20,apr,4,-1,0,unknown,no
265,30,admin.,married,primary,no,40,yes,yes,cellular,7,jul,1,-1,0,unknown,no
266,40,unknown,married,unknown,no,35,no,no,unknown,19,jun,1,-1,0,unknown,no
267,41,technician,married,secondary,no,665,yes,no,unknown,15,may,1,-1,0,unknown,no
268,31,admin.,divorced,secondary,no,308,yes,no,unknown,7,may,1,-1,0,unknown,no
269,33,services,married,tertiary,no,546,yes,yes,cellular,3,feb,2,270,1,failure,no
270,32,management,single,tertiary,no,4262,yes,no,cellular,20,apr,1,152,1,failure,no
271,44,management,divorced,primary,no,641,yes,no,cellular,5,feb,2,269,3,other,no
272,53,technician,divorced,secondary,no,392,yes,no,cellular,28,jan,1,245,1,failure,no
273,46,admin.,married,secondary,no,711,no,yes,telephone,28,jul,11,-1,0,unknown,no
274,41,entrepreneur,divorced,tertiary,no,958,no,no,cellular,10,jul,1,-1,0,unknown,no
275,38,technician,married,tertiary,no,0,no,no,cellular,22,aug,6,-1,0,unknown,no
276,44,blue-collar,divorced,secondary,no,3258,no,no,cellular,31,jul,6,-1,0,unknown,no
277,41,blue-collar,married,secondary,no,108,yes,yes,unknown,7,may,1,-1,0,unknown,no
278,32,management,married,tertiary,no,578,no,yes,cellular,22,jul,2,-1,0,unknown,no
279,37,services,married,primary,no,0,yes,no,unknown,26,may,1,-1,0,unknown,no
280,35,management,married,tertiary,no,109,no,yes,cellular,21,aug,2,-1,0,unknown,no
281,37,services,married,secondary,no,-5,yes,yes,unknown,30,may,2,-1,0,unknown,no
282,53,management,divorced,secondary,no,2215,yes,yes,cellular,31,jul,14,-1,0,unknown,no
283,33,blue-collar,married,secondary,no,249,yes,no,cellular,31,jul,4,-1,0,unknown,no
284,39,technician,divorced,secondary,no,1270,yes,no,unknown,29,may,4,-1,0,unknown,no
285,26,technician,single,tertiary,no,1972,yes,no,cellular,29,jan,2,-1,0,unknown,no
286,36,unemployed,single,tertiary,no,536,no,no,cellular,19,nov,1,-1,0,unknown,no
287,27,blue-collar,married,secondary,no,613,yes,no,unknown,19,may,3,-1,0,unknown,no
288,35,management,married,tertiary,no,1473,yes,no,cellular,20,apr,6,322,4,other,no
289,32,management,married,tertiary,no,944,yes,yes,unknown,4,jun,1,-1,0,unknown,no
290,35,blue-collar,divorced,secondary,no,286,yes,no,cellular,15,may,1,365,4,other,no
291,30,services,married,tertiary,no,1019,no,no,cellular,4,feb,1,234,1,other,no
292,54,housemaid,married,primary,no,182,no,no,cellular,25,aug,4,-1,0,unknown,no
293,37,blue-collar,married,secondary,yes,-399,yes,yes,unknown,3,jun,3,-1,0,unknown,no
294,49,blue-collar,single,secondary,no,725,yes,no,cellular,13,may,6,348,4,other,no
295,35,management,married,tertiary,no,1336,no,no,unknown,21,may,2,-1,0,unknown,no
296,28,blue-collar,married,primary,no,115,yes,no,unknown,28,may,4,-1,0,unknown,no
297,47,management,single,tertiary,no,0,no,no,cellular,12,aug,2,-1,0,unknown,no
298,37,blue-collar,married,secondary,no,223,yes,no,cellular,11,may,2,301,2,failure,no
299,40,student,married,secondary,no,260,no,no,unknown,20,jun,6,-1,0,unknown,no
300,34,blue-collar,divorced,primary,no,0,yes,no,cellular,15,may,5,-1,0,unknown,no
301,44,services,divorced,secondary,no,424,yes,no,unknown,6,may,1,-1,0,unknown,no
302,50,blue-collar,married,secondary,yes,-812,no,yes,cellular,5,feb,8,-1,0,unknown,no
303,31,services,married,secondary,no,1801,yes,no,telephone,6,feb,1,274,2,failure,no
304,47,blue-collar,divorced,secondary,no,-4,yes,no,cellular,16,jul,1,-1,0,unknown,no
305,55,self-employed,married,primary,no,2349,no,yes,telephone,30,jul,3,-1,0,unknown,no
306,38,services,married,secondary,no,309,no,no,unknown,12,jun,2,-1,0,unknown,no
307,37,self-employed,married,secondary,yes,0,no,yes,cellular,21,jul,1,-1,0,unknown,no
308,39,blue-collar,married,secondary,no,661,yes,no,unknown,12,may,4,-1,0,unknown,no
309,44,admin.,married,secondary,no,598,no,no,cellular,31,jul,5,-1,0,unknown,no
310,46,unemployed,married,secondary,no,594,no,no,cellular,4,feb,2,-1,0,unknown,no
